ID,revolutions,humidity,vibration
176,93.069,73.942,18.18
177,93.065,73.942,18.18
178,93.061,73.941,18.18
179,93.057,73.941,18.18
180,93.053,73.941,18.18
181,93.05,73.94,18.18
182,93.046,73.94,18.18
183,93.042,73.94,18.18
184,93.038,73.939,18.18
185,93.034,73.939,18.18
187,93.026,73.938,18.19
188,93.023,73.938,18.19
189,93.019,73.938,18.19
190,93.015,73.937,18.19
192,93.007,73.937,18.19
195,92.996,73.936,18.19
196,92.992,73.935,18.2
197,92.988,73.935,18.2
198,92.984,73.935,18.2
199,92.98,73.934,18.2
200,92.976,73.934,18.2
201,92.972,73.934,18.0
202,92.969,73.933,18.2
205,92.957,73.932,18.2
206,92.953,73.932,18.21
207,92.949,73.932,18.21
208,92.945,73.932,18.21
209,92.942,73.931,18.21
210,92.938,73.931,18.21
211,92.934,73.931,18.21
212,92.93,73.93,18.21
213,92.926,73.93,18.21
214,92.922,73.93,18.21
215,92.918,73.929,18.21
216,92.915,73.929,18.22
217,92.911,73.929,18.22
219,92.903,73.928,18.22
220,92.899,73.928,18.22
221,92.895,73.927,18.22
222,92.891,73.927,18.22
223,92.888,73.927,18.22
224,92.884,73.926,18.22
225,92.88,73.926,18.22
226,92.876,73.926,18.23
227,92.872,73.925,18.23
231,92.857,73.924,18.23
232,92.853,73.924,18.23
233,92.849,73.923,18.23
234,92.845,73.923,18.23
235,92.841,73.923,18.23
236,92.837,73.922,18.24
238,92.83,73.922,18.24
239,92.826,73.921,18.24
240,92.822,73.921,18.24
242,92.814,73.92,18.24
243,92.81,73.92,18.24
244,92.807,73.92,18.24
246,92.799,73.919,18.25
247,92.795,73.919,18.25
249,92.787,73.918,18.25
251,92.779,73.917,18.25
252,92.776,73.917,18.25
253,92.772,73.917,18.25
255,92.764,73.916,18.25
256,92.76,73.916,18.26
257,92.756,73.916,18.26
258,92.752,73.915,18.26
259,92.749,73.915,18.26
260,92.745,73.915,18.26
262,92.737,73.914,18.26
263,92.733,73.914,18.26
264,92.729,73.913,18.26
266,92.722,73.913,18.27
267,92.718,73.912,18.27
268,92.714,73.912,18.27
269,92.71,73.912,18.27
270,92.706,73.911,18.27
271,92.702,73.911,18.27
272,92.698,73.911,18.27
273,92.695,73.91,18.27
274,92.691,73.91,18.27
275,92.687,73.91,18.27
276,92.683,73.909,18.28
277,92.679,73.909,18.28
278,92.675,73.909,18.28
279,92.671,73.908,18.28
280,92.668,73.908,18.28
281,92.664,73.908,18.28
282,92.66,73.907,18.28
283,92.656,73.907,18.28
284,92.652,73.907,18.28
285,92.648,73.906,18.28
286,92.644,73.906,18.29
288,92.637,73.905,18.29
289,92.633,73.905,18.29
290,92.629,73.905,18.29
291,92.625,73.904,18.29
292,92.621,73.904,18.29
293,92.617,73.904,18.29
294,92.614,73.903,18.29
296,92.606,73.903,18.3
297,92.602,73.903,18.3
298,92.598,73.902,18.3
299,92.594,73.902,18.3
300,92.59,73.902,18.3
301,92.587,73.901,18.0
302,92.583,73.901,18.3
303,92.579,73.901,18.3
304,92.575,73.9,18.3
305,92.571,73.9,18.3
306,92.567,73.9,18.31
307,92.563,73.899,18.31
310,92.552,73.898,18.31
311,92.548,73.898,18.31
312,92.544,73.898,18.31
313,92.54,73.897,18.31
314,92.536,73.897,18.31
315,92.533,73.897,18.31
316,92.529,73.896,18.32
317,92.525,73.896,18.32
319,92.517,73.895,18.32
321,92.509,73.895,18.32
322,92.506,73.894,18.32
326,92.49,73.893,18.33
327,92.486,73.893,18.33
328,92.482,73.892,18.33
329,92.479,73.892,18.33
330,92.475,73.892,18.33
331,92.471,73.891,18.33
332,92.467,73.891,18.33
333,92.463,73.891,18.33
334,92.459,73.89,18.33
335,92.455,73.89,18.33
336,92.452,73.89,18.34
337,92.448,73.889,18.34
339,92.44,73.889,18.34
340,92.436,73.888,18.34
342,92.428,73.888,18.34
344,92.421,73.887,18.34
345,92.417,73.887,18.34
348,92.405,73.886,18.35
349,92.401,73.886,18.35
350,92.398,73.885,18.35
351,92.394,73.885,18.35
352,92.39,73.885,18.35
353,92.386,73.884,18.35
354,92.382,73.884,18.35
356,92.374,73.883,18.36
357,92.371,73.883,18.36
358,92.367,73.883,18.36
360,92.359,73.882,18.36
361,92.355,73.882,18.36
362,92.351,73.881,18.36
363,92.347,73.881,18.36
364,92.344,73.881,18.36
365,92.34,73.88,18.36
366,92.336,73.88,18.37
368,92.328,73.879,18.37
369,92.324,73.879,18.37
370,92.32,73.879,18.37
371,92.317,73.878,18.37
372,92.313,73.878,18.37
373,92.309,73.878,18.37
374,92.305,73.877,18.37
375,92.301,73.877,18.37
376,92.297,73.877,18.38
377,92.293,73.876,18.38
378,92.29,73.876,18.38
379,92.286,73.876,18.38
380,92.282,73.875,18.38
381,92.278,73.875,18.38
382,92.274,73.875,18.38
383,92.27,73.874,18.38
384,92.266,73.874,18.38
385,92.263,73.874,18.38
389,92.247,73.873,18.39
390,92.243,73.872,18.39
391,92.239,73.872,18.39
393,92.232,73.871,18.39
394,92.228,73.871,18.39
395,92.224,73.871,18.39
397,92.216,73.87,18.4
399,92.209,73.869,18.4
400,92.205,73.869,18.4
401,92.201,73.869,18.0
402,92.197,73.868,18.4
403,92.193,73.868,18.4
404,92.189,73.868,18.4
406,92.182,73.867,18.41
407,92.178,73.867,18.41
408,92.174,73.866,18.41
409,92.17,73.866,18.41
410,92.166,73.866,18.41
411,92.162,73.865,18.41
412,92.158,73.865,18.41
413,92.155,73.865,18.41
415,92.147,73.864,18.41
416,92.143,73.864,18.42
417,92.139,73.863,18.42
418,92.135,73.863,18.42
419,92.131,73.863,18.42
420,92.127,73.862,18.42
421,92.124,73.862,18.42
422,92.12,73.862,18.42
423,92.116,73.861,18.42
424,92.112,73.861,18.42
425,92.108,73.861,18.42
428,92.097,73.86,18.43
430,92.089,73.859,18.43
431,92.085,73.859,18.43
433,92.077,73.858,18.43
435,92.07,73.858,18.43
436,92.066,73.857,18.44
437,92.062,73.857,18.44
441,92.046,73.856,18.44
443,92.039,73.855,18.44
444,92.035,73.855,18.44
446,92.027,73.854,18.45
447,92.023,73.854,18.45
448,92.019,73.853,18.45
450,92.012,73.853,18.45
451,92.008,73.852,18.45
452,92.004,73.852,18.45
453,92.0,73.852,18.45
454,91.996,73.851,18.45
455,91.992,73.851,18.45
456,91.989,73.851,18.46
458,91.981,73.85,18.46
459,91.977,73.85,18.46
460,91.973,73.849,18.46
464,91.958,73.848,18.46
465,91.954,73.848,18.46
466,91.95,73.847,18.47
467,91.946,73.847,18.47
468,91.942,73.847,18.47
469,91.938,73.846,18.47
470,91.935,73.846,18.47
471,91.931,73.846,18.47
472,91.927,73.845,18.47
473,91.923,73.845,18.47
475,91.915,73.844,18.47
476,91.911,73.844,18.48
477,91.908,73.844,18.48
478,91.904,73.843,18.48
480,91.896,73.843,18.48
481,91.892,73.843,18.48
482,91.888,73.842,18.48
483,91.884,73.842,18.48
485,91.877,73.841,18.48
486,91.873,73.841,18.49
487,91.869,73.841,18.49
488,91.865,73.84,18.49
489,91.861,73.84,18.49
490,91.857,73.84,18.49
491,91.854,73.839,18.49
492,91.85,73.839,18.49
494,91.842,73.838,18.49
495,91.838,73.838,18.49
498,91.827,73.837,18.5
499,91.823,73.837,18.5
500,91.819,73.836,18.5
502,91.811,73.836,18.5
503,91.807,73.835,18.5
504,91.803,73.835,18.5
505,91.8,73.835,18.5
506,91.796,73.834,18.51
508,91.788,73.834,18.51
509,91.784,73.833,18.51
510,91.78,73.833,18.51
512,91.773,73.832,18.51
513,91.769,73.832,18.51
515,91.761,73.831,18.51
517,91.753,73.831,18.52
518,91.749,73.83,18.52
519,91.746,73.83,18.52
520,91.742,73.83,18.52
521,91.738,73.83,18.52
522,91.734,73.829,18.52
523,91.73,73.829,18.52
524,91.726,73.829,18.52
525,91.722,73.828,18.52
526,91.718,73.828,18.53
527,91.715,73.828,18.53
528,91.711,73.827,18.53
529,91.707,73.827,18.53
531,91.699,73.826,18.53
532,91.695,73.826,18.53
533,91.691,73.826,18.53
534,91.688,73.825,18.53
536,91.68,73.825,18.54
537,91.676,73.824,18.54
538,91.672,73.824,18.54
